st,name,pop_2020
AN,Andaman and Nicobar Islands,417036
AP,Andhra Pradesh,53903393
AR,Arunachal Pradesh,1570458
AS,Assam,35607039
BR,Bihar,124799926
CH,Chandigarh,1158473
CT,Chhattisgarh,29436231
DN,Dadra and Nagar Haveli and Daman and Diu,615724
DL,Delhi,18710922
GA,Goa,1586250
GJ,Gujarat,63872399
HR,Haryana,28204692
HP,Himachal Pradesh,7451955
JK,Jammu and Kashmir,13606320
JH,Jharkhand,38593948
KA,Karnataka,67562686
KL,Kerala,35699443
LA,Ladakh,289023
LD,Lakshadweep,73183
MP,Madhya Pradesh,85358965
MH,Maharashtra,123144223
MN,Manipur,3091545
ML,Meghalaya,3366710
MZ,Mizoram,1239244
NL,Nagaland,2249695
OR,Odisha,46356334
PY,Puducherry,1413542
PB,Punjab,30141373
RJ,Rajasthan,81032689
SK,Sikkim,690251
TN,Tamil Nadu,77841267
TG,Telangana,38510982
TR,Tripura,4169794
UP,Uttar Pradesh,237882725
UT,Uttarakhand,11250858
WB,West Bengal,99609303